538,86509678,270,18468040
Alabama,AL,9,670965
Alaska,AK,3,79223
Arizona,AZ,6,436973
Arkansas,AR,6,418792
Colorado,CO,7,592208
Delaware,DE,3,117835
District of Columbia,DC,3,86945
Georgia,GA,12,798734
Hawaii,HI,4,151644
Idaho,ID,4,218716
Kansas,KS,7,489898
Kentucky,KY,9,647314
Louisiana,LA,10,774296
Maine,ME,4,261506
Maryland,MD,10,770249
Mississippi,MS,7,446311
Montana,MT,4,181977
Nebraska,NE,5,320428
Nevada,NV,3,123943
New Hampshire,NH,4,192000
New Mexico,NM,4,228119
New York,NY,41,3100980
North Carolina,NC,13,927917
North Dakota,ND,3,150773
Oklahoma,OK,8,574855
Pennsylvania,PA,27,2280751
Rhode Island,RI,4,208037
South Carolina,SC,8,445042
South Dakota,SD,4,163852
Tennessee,TN,10,808809
Utah,UT,4,302112
Vermont,VT,3,106604
Virginia,VA,12,933017
West Virginia,WV,6,368858
Wyoming,WY,3,88357
